ip,app,device,os,channel,click_time,is_attributed
92882,8,1,15,145,2017-11-08 16:59:54,0
79779,12,1,28,328,2017-11-06 22:51:21,0
82170,9,1,17,134,2017-11-08 04:48:10,0
2180,2,1,19,477,2017-11-08 06:29:28,0
26604,9,1,20,334,2017-11-07 09:15:56,0
118123,14,1,6,349,2017-11-07 15:07:32,0
5314,3,1,6,442,2017-11-08 10:02:06,0
126286,29,1,25,213,2017-11-07 07:25:52,0
207211,29,1,22,213,2017-11-07 05:19:05,1
336203,19,1114,24,333,2017-11-09 14:22:03,1
361596,108,1,18,243,2017-11-08 23:05:20,1
121486,27,1,19,122,2017-11-09 01:33:29,0
67606,14,1,22,401,2017-11-07 07:45:50,0
121948,107,1,13,171,2017-11-08 06:26:10,1
123701,12,1,26,265,2017-11-07 09:01:51,0
115975,14,1,19,401,2017-11-07 13:33:26,0
39205,13,1,11,477,2017-11-07 08:16:20,0
22235,2,1,18,243,2017-11-06 16:42:03,1
53526,9,1,19,445,2017-11-08 01:55:10,1
114904,14,1,9,401,2017-11-08 18:09:52,0
360897,19,0,24,213,2017-11-09 10:23:16,1
1699,2,1,53,377,2017-11-08 05:51:04,0
244424,3,1,19,280,2017-11-08 01:17:00,1
88212,19,114,0,213,2017-11-09 01:08:09,1
137315,9,1,8,244,2017-11-09 04:50:50,1
195458,115,1,22,203,2017-11-07 15:45:01,1
1471,3,1,13,280,2017-11-08 09:59:54,0
270067,10,1,27,113,2017-11-08 10:49:57,1
234099,29,1,19,213,2017-11-08 02:02:47,1
111033,15,1,6,245,2017-11-07 00:24:58,0
179412,10,1,49,113,2017-11-07 12:52:34,1
67188,3,1,15,480,2017-11-07 04:33:56,0
119010,19,0,38,213,2017-11-08 08:50:25,1
173639,3,1,19,280,2017-11-08 04:52:57,0
30114,10,1,19,113,2017-11-07 13:43:36,0
317539,10,1,61,113,2017-11-09 01:35:52,1
80522,12,1,19,178,2017-11-08 00:52:09,0
81245,2,1,20,477,2017-11-08 14:59:05,0
262508,19,0,0,213,2017-11-07 19:56:08,1
37682,18,1,13,134,2017-11-06 23:48:54,0
99769,19,0,24,347,2017-11-09 06:05:50,1
46672,35,1,19,21,2017-11-07 01:15:05,1
73516,12,1,8,178,2017-11-09 00:19:57,0
123276,26,1,22,121,2017-11-08 05:14:33,1
57489,2,1,13,452,2017-11-08 05:43:30,0
53480,18,1,13,107,2017-11-09 07:34:20,0
66434,14,1,13,463,2017-11-07 01:16:22,0
29651,14,1,19,480,2017-11-07 00:52:26,0
76060,22,1,22,116,2017-11-08 08:50:25,0
44169,3,1,13,205,2017-11-09 14:07:51,0
